cluster	count	casing patterns
a	167643	
y	121537	
i	100542	
r	81321	
j	68093	
t	66846	
u	61330	
d	52924	
n	52097	
s	41582	
v	40271	
u̱	39214	
e	38776	
a̱	35240	only_lower
m	28507	
c	26030	
i̱	24426	only_lower
h	21502	only_lower
ñ	7740	
p	6462	
b	6099	
o	5409	
q	3802	
o̱	3020	only_lower
í	2243	only_lower
ú	2238	only_lower
e̱	1998	only_lower
á	1850	
é	1106	
ó	557	
ú̱	293	only_lower
á̱	284	only_lower
í̱	214	only_lower
ó̱	109	only_lower
l	23	only_lower
g	12	only_lower
é̱	8	only_lower
k	2	only_lower
0	1	
1	1	
2	1	
4	1	
6	1	
f	1	only_lower
z	1	only_upper
