cluster	count	casing patterns
ॽ	52109	
ङ्‌	20439	
ङ	17774	
मि	17759	
नि	14284	
बा	12502	
जि	12215	
नु	11988	
मा	11690	
इ	11526	
बे	10821	
हा	10419	
क्‍	10324	
म्‍	8356	
न्‍	7781	
सा	7523	
मो	7456	
वा	7180	
आ	7108	
प	7060	
म	6925	
डे़	6917	
सु	6650	
र	6543	
या	6510	
ये	6179	
खा	5498	
सि	5281	
प्‍	4918	
लु	4826	
खो	4752	
मे	4696	
का	4625	
स	4618	
डो	4605	
हे़	4595	
क	4484	
ले़	4293	
टु	4083	
ब	4072	
नो	3743	
रि	3738	
पा	3618	
सो	3615	
रा	3163	
ले़ः	3134	
न	3069	
स्‍	3064	
लि	3044	
गो	3006	
चा	2996	
मे़	2980	
ए	2957	
हो	2859	
चो	2790	
ना	2790	
ला	2760	
ले	2744	
त	2605	
यो	2533	
पे	2460	
से़	2435	
अ	2342	
रो	2314	
टा	2284	
ए़	2271	
डा	2189	
य	2179	
पि	2083	
डु	2075	
के़	2065	
बि	2042	
लो	1975	
ङे़	1965	
बो	1916	
को	1887	
खु	1840	
ङे	1764	
खे़	1747	
खि	1732	
ने़	1698	
ति	1627	
ल	1611	
हि	1608	
से	1559	
रु	1503	
यु	1472	
हु	1377	
हे	1362	
चु	1234	
टि	1221	
गि	1191	
जे	1175	
उ	1155	
त्‍	1149	
ने	1149	
खे	1126	
हिँ	1107	
गा	1084	
ढो	1082	
डे	1073	
टो	1070	
मु	1064	
ह	1058	
दि	1041	
रे	1000	
चि	996	
ख	969	
पो	964	
घु	956	
ट	953	
टे़	906	
ङा	864	
च	828	
जा	801	
था	776	
भु	768	
घे़	767	
गे़	747	
गु	737	
इः	687	
ग	653	
व	625	
दा	610	
कि	607	
ठा	600	
ता	599	
डि	591	
घा	561	
ओ	539	
धा	529	
द	526	
ज	512	
टे	483	
ज्‍	456	
उँ	448	
ध	435	
बे़	435	
चे	407	
थ	397	
ड	386	
फे	382	
च्‍	372	
ग्‍	362	
पु	359	
ढा	353	
दु	339	
धि	316	
कु	305	
जो	287	
बु	281	
ते	279	
फ	261	
छे	244	
येः	242	
खेः	233	
भ	230	
दे	215	
ब्‍	213	
द्‌	207	
राः	204	
थो	192	
जु	185	
छ	179	
थि	175	
यि	172	
ल्‍	168	
फु	167	
छा	166	
घ	161	
के	159	
ट्‌	158	
दुः	154	
फि	151	
फे़	149	
तु	144	
पे़	144	
छु	141	
रे़	141	
सै	129	
वाँ	123	
फा	119	
भा	115	
छि	109	
के़ः	108	
ठो	105	
याः	100	
गे	99	
फो	91	
ओः	89	
चे़	87	
भि	85	
सिः	85	
हाः	83	
ङाः	78	
वो	78	
जे़	70	
दो	63	
वे	62	
हिः	61	
कै	60	
छो	59	
भे	59	
ठु	57	
जाँ	56	
उः	55	
थु	53	
वे़	53	
क्‌	48	
धो	46	
ख्‍	44	
थ्‍	41	
ठि	40	
गै	37	
ठे	37	
सोः	36	
ङि	35	
ठ्‌	35	
थे	35	
ठ	33	
धु	33	
भो	33	
खाँ	31	
चिः	31	
छे़	31	
ढे़	31	
तो	30	
घो	29	
जै	25	
हौ	25	
१	25	
नाः	24	
मोः	22	
ठोः	21	
प्‌	21	
पुः	19	
मे़ः	19	
इँ	17	
लौ	16	
६	16	
ङेः	15	
ध्‍	15	
बै	15	
५	15	
ढ	14	
ने़ः	14	
रिः	14	
रोः	14	
सुः	14	
खै	13	
घे	13	
ड्‌	13	
थोः	13	
म्‌	13	
३	13	
झो	12	
ढु	12	
यिः	12	
क्	11	
वाः	11	
ए़ः	10	
कुः	10	
चेः	10	
ढि	10	
०	10	
प्	9	
साः	9	
हुः	9	
टे़ः	8	
फोः	8	
लाः	8	
२	8	
आँ	7	
टाः	7	
टुः	7	
ठाः	7	
फे़ः	7	
मौ	7	
वि	7	
घि	6	
ठिः	6	
नै	6	
मिः	6	
म्	6	
वोः	6	
ठे़ः	5	
ढे़ः	5	
पे़ः	5	
लेः	5	
४	5	
झा	4	
झि	4	
ठे़	4	
पौ	4	
फ्‍	4	
मै	4	
वे़ः	4	
साँ	4	
हे़ः	4	
७	4	
८	4	
एः	3	
ऐ	3	
काँ	3	
खिः	3	
खे़ँ	3	
ख्	3	
गैँ	3	
घुँ	3	
घै	3	
ङोः	3	
चौ	3	
झ	3	
टाँ	3	
तै	3	
त्	3	
दाँ	3	
नोः	3	
ब्	3	
भे़	3	
माः	3	
हँ	3	
हेः	3	
एे़	2	
किः	2	
कौ	2	
ङो	2	
चे़ः	2	
झे	2	
ढे	2	
धै	2	
पाः	2	
पेः	2	
फिः	2	
फै	2	
फौ	2	
योः	2	
९	2	
इँः	1	
औँ	1	
काः	1	
खोः	1	
गँ	1	
गौ	1	
ग्	1	
चः	1	
चोः	1	
छाँ	1	
ज्	1	
टोः	1	
ट्	1	
थै	1	
दै	1	
न्	1	
पै	1	
फ्‌	1	
य्‍	1	
रे़ः	1	
लै	1	
विः	1	
सेः	1	
सोँ	1	
हाँ	1	
हुँ	1	
