cluster	count	casing patterns
a	152518	
n	115193	
i	112416	
u	88685	
e	72454	
t	70109	
l	59677	
c	54549	
r	45958	
s	37647	
b	33288	
o	29462	
d	21688	
q	20916	
á	18643	
p	18335	
h	17013	
ą	16546	
g	14881	
í	13613	
y	12639	
à	10423	
m	7544	
é	7500	
ì	7041	
è	6623	
ỹ	5986	
ú	5217	
į	4839	
ù	3509	only_lower
j	3426	
x	2471	
f	2148	
ó	2005	only_lower
ą́	1448	
v	1402	
z	1065	
ñ	996	
ò	272	only_lower
ą̀	18	only_lower
k	8	only_lower
ü	8	only_lower
0	3	
6	3	
4	2	
ı̨́	2	only_lower
1	1	
į́	1	only_lower
n̨	1	only_lower
s̀	1	only_lower
ẗ	1	only_lower
ı̨̀	1	only_lower
