cluster	count	casing patterns
i	105004	
a	81161	
n	76982	
e	67872	
u	59475	
j	50562	
r	43691	
c	39046	
d	37672	
l	37010	
s	36446	
x	33743	
t	32254	
g	31395	
o	31143	
b	25356	
ä	21103	only_lower
h	17255	
z	14206	
ṉ	10251	only_lower
p	10052	
ḻ	6106	only_lower
y	6061	
m	2944	
ú	1775	only_lower
w	957	only_lower
q	789	
é	651	
f	619	
ṟ	409	only_lower
í	351	only_lower
ó	297	only_lower
ä́	245	only_lower
á	197	only_lower
n̲	169	only_upper
v	141	only_lower
m̲	121	only_lower
k	10	only_lower
r̲	7	only_upper
ñ	4	only_lower
ü	4	only_lower
