cluster	count	casing patterns
e	90307	
a	68870	
i	68097	
n	62769	
o	46599	
d	43492	
y	41369	
l	40156	
u	37552	
z	36199	
m	35154	
r	33688	
g	31653	
h	27602	
ñ	24215	
b	20754	
t	20549	
ꞌ	20392	only_lower
c	19730	
x	15041	
s	14673	
p	12768	
â	9815	only_lower
w	5602	
ü	5005	only_lower
q	3821	
j	3426	
î	3101	only_lower
ó	2947	
é	2927	
ḻ	2557	only_lower
ú	2151	
ṉ	1277	only_lower
í	1185	only_lower
ṟ	1142	
f	909	
á	769	
v	430	only_lower
ê	225	only_lower
ô	213	only_lower
û	155	only_lower
k	11	only_lower
4	2	
1	1	
